comuna,titulo,leychileCode,numero,fechaPublicacion,url,url_minvu
AISEN,Plan Regulador Interurbano de Puerto Aysén - Puerto Chacabuco,,15,2001-06-21,,https://instrumentosdeplanificacion.minvu.cl/files/maps/3130/4.15a99b.11201.pdf
AISEN,DEJA SIN EFECTO DECRETO QUE MENCIONA Y DEROGA DECRETO QUE SEÑALA APRUEBA PLANO REGULADOR Y LIMITE URBANO QUE INDICA,,667,1971-02-22,,https://instrumentosdeplanificacion.minvu.cl/files/maps/3127/4.667a70c.11201.pdf
AISEN,ORDENANZA LOCAL DE CONSTRUCCIONES Y URBANIZACION DE LA CIUDAD DE PUERTO AISEN,,1156,,,https://instrumentosdeplanificacion.minvu.cl/files/maps/3124/4.1156a52d.11201.pdf
ALGARROBO,"APRUEBA LA MODIFICACIÓN DEL PLAN REGULADOR COMUNA DE ALGARROBO, SINGULARIZADO CON EL NOMBRE DE ""MODIFICACIÓN PLAN REGULADOR COMUNAL, SECTOR PUNTA PEÑABLANCA, PUNTA LEONCILLO, CANELO Y CANELILLO"" ",1129135,331,2019-02-20,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-331_20-FEB-2019&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1129135.2019-02-20.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/1919/4.331b19b.05602.pdf
ALGARROBO,EXTRACTO DE DECRETO ALCALDICIO N°360 DE 2009,,360,2009-03-23,,https://instrumentosdeplanificacion.minvu.cl/files/maps/1918/4.360b09b.05602.pdf
ALGARROBO,Plan Regulador Comunal de Algarrobo,,31-4-122,1998-10-20,,https://instrumentosdeplanificacion.minvu.cl/files/maps/1917/4.31-4-122a98c.05602.pdf
ALGARROBO,MODIFICA PLAN REGULADOR OCMUNAL DE ALGARROBO EN LOS SECTORES: PUNTA DEL FRAILE Y QUEBRADA LAS TINAJAS,,268,1988-04-23,,https://instrumentosdeplanificacion.minvu.cl/files/maps/1915/4.268a87p.05602.jpg
ALGARROBO,APRUEBA PLAN REGULADOR COMUNAL DE SAN ANTONIO,,182,1984-12-19,,https://instrumentosdeplanificacion.minvu.cl/files/maps/1913/4.182a82p.05602.jpg
ALTO BIOBIO,Plan Regulador Comunal Santa Bárbara Ralco,,111,1999-04-01,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2030/4.111a97d.08314.pdf
ALTO HOSPICIO,"LLEVA A EFECTO ORDENANZA Nº 28/13, SOBRE ENMIENDA AL ARTÍCULO Nº 62º ZONA Z5 ÁREA DEPORTIVA - INDUSTRIAL DE LA ORDENANZA LOCAL DEL PLAN SECCIONAL ALTO HOSPICIO - ALTO MOLLE",1059979,119,2014-03-04,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-119_04-MAR-2014&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1059979.2014-03-04.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3510/4.119b14c.01107.pdf
ALTO HOSPICIO,APRUEBA ENMIENDA A ORDENANZA LOCAL Y PLANO DE ZONIFICACIÓN ALTO HOSPICIO-ALTO MOLLE-0496 PS1,1050101,710,2013-04-13,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-710_13-ABR-2013&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1050101.2013-04-13.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3509/4.710b13c.01107.pdf
ALTO HOSPICIO,"MODIFICA PLAN REGULADOR COMUNAL DE IQUIQUE, SECTOR ALTO HOSPICIO-ALTO MOLLE, COMUNA DE ALTO HOSPICIO, SECTOR LAS PARCELAS - EX PARQUE ORIENTE, EN EL SENTIDO QUE INDICA",1010706,37,2010-02-04,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-37_04-FEB-2010&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1010706.2010-02-04.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3508/4.37b09a.01107.pdf
ALTO HOSPICIO,"DEJA SIN EFECTO RESOLUCION AFECTA Nº 3, DE 1999, Y APRUEBA PLAN SECCIONAL ALTO HOSPICIO-ALTO MOLLE",194249,40-afecta,2002-01-31,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-40-afecta_31-ENE-2002&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=194249.2002-01-31.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3506/4.40b01c1.01107.pdf
ANCUD,APRUEBA MODIFICACIÓN PLAN REGULADOR COMUNAL DE ANCUD,1007265,106-afecta,2009-10-17,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-106-afecta_17-OCT-2009&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1007265.2009-10-17.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/1693/4.106b09c.10202.pdf
ANCUD,APRUEBA MODIFICACION AL PLAN REGULADOR COMUNAL DE ANCUD,172027,10-afecta,2000-07-06,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-10-afecta_06-JUL-2000&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=172027.2000-07-06.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/1657/4.10b00c.10202.pdf
ANCUD,Plan Regulador Comunal de Ancud,,2,1996-08-22,,https://instrumentosdeplanificacion.minvu.cl/files/maps/1608/4.69a96c.10202.pdf
ANCUD,MODIFICA PLAN REGULADOR COMUNAL DE ANCUD,,2,1990-08-06,,https://instrumentosdeplanificacion.minvu.cl/files/maps/1607/4.8a90c.10202.pdf
ANCUD,MODIFICA PLAN REGULADOR COMUNAL DE ANCUD SECTOR COSTANERA,127593,182,1988-11-19,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-182_19-NOV-1988&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=127593.1988-11-19.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/1615/4.182a88c.10202.pdf
ANCUD,APRUEBA EL PLAN REGULADOR Y LA ORDENANZA LOCAL DE ANCUD,,2,1961-06-05,,https://instrumentosdeplanificacion.minvu.cl/files/maps/1616/4.998a61c.10202.jpg
ANDACOLLO,Modificación_PRC_Andacollo_Enmienda N°1,,445,2011-11-18,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2256/4.445b11d1.04103.pdf
ANDACOLLO,Modificación_PRC_Andacollo_Asigna normas en DUP caducadas,,40,2011-01-24,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2255/4.40b11b.04103.pdf
ANDACOLLO,APRUEBA MODIFICACION DEL PLAN REGULADOR COMUNAL DE ANDACOLLO,31804,2,1993-04-28,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-2_28-ABR-1993&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=31804.1993-04-28.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2254/4.2a93c.04103.pdf
ANDACOLLO,APRUEBA PLAN REGULADOR COMUNAL DE ANDACOLLO,1032912,19,1991-10-11,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-19_11-OCT-1991&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1032912.1991-10-11.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2253/4.19a89c.04103.pdf
ANDACOLLO,APRUEBA PLAN REGULADOR COMUNAL DE ANDACOLLO,31243,19,1991-10-11,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-19_11-OCT-1991&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=31243.1991-10-11.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2253/4.19a89c.04103.pdf
ANGOL,PROMULGA ACTUALIZACIÓN DEL PLAN REGULADOR COMUNA DE ANGOL,1182816,40,2022-10-14,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-40_14-OCT-2022&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1182816.2022-10-14.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3614/4.40b22d.09201.pdf
ANGOL,"PROMULGA MODIFICACIÓN ZONA ZR-2, PLAN REGULADOR COMUNAL DE ANGOL",,110,2015-11-16,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2796/4.110b15d.09201.pdf
ANGOL,MODIFICA PLAN REGULADOR DE ANGOL,200112,16,2002-07-08,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-16_08-JUL-2002&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=200112.2002-07-08.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2793/4.16b02c.09201.pdf
ANGOL,"MODIFICA PLAN REGULADOR COMUNAL DE ANGOL A ZONA Z-1, ZONA Z-2 Y ZONA DE PROTECCION ZR 3-2",181949,47,2001-02-16,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-47_16-FEB-2001&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=181949.2001-02-16.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2795/4.47b00c.09201.pdf
ANGOL,APRUEBA MODIFICACION PLAN REGULADOR COMUNAL DE ANGOL,86436,19,1992-07-03,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-19_03-JUL-1992&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=86436.1992-07-03.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2794/4.19a92c.09201.pdf
ANGOL,APRUEBA PLAN REGULADOR COMUNAL DE ANGOL,,161,1987-12-10,,https://instrumentosdeplanificacion.minvu.cl/files/maps/2797/4.161a87c.09201.pdf
ANTOFAGASTA,PROMULGA PLAN REGULADOR COMUNAL DE ANTOFAGASTA,200632,24,2002-07-17,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-24_17-JUL-2002&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=200632.2002-07-17.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3/4.24b02d.02101.pdf
ANTOFAGASTA,SECCIONAL MODIFICATORIO DEL PLAN REGULADOR DE ANTOFAGASTA,,2,1995-05-18,,https://instrumentosdeplanificacion.minvu.cl/files/maps/6/5.2a95p.02101.jpg
ANTOFAGASTA,APRUEBA MODIFICACIÓN DE TRAZADO DE LINEA FERREA DEL FERROCARRIL DE ANTOFAGASTA A BOLIVIA,,1,1994-04-07,,https://instrumentosdeplanificacion.minvu.cl/files/maps/5/5.1a94p.02101.jpg
ANTOFAGASTA,MODIFICA PLAN REGULADOR COMUNAL DE ANTOFAGASTA,85010,5,1992-10-27,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-5_27-OCT-1992&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=85010.1992-10-27.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/4/5.5a92c.02101.pdf
ARAUCO,APRUÉBASE ENMIENDA AL PLAN REGULADOR COMUNAL DE ARAUCO,1126646,7920,2018-12-14,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-7920_14-DIC-2018&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1126646.2018-12-14.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2039/4.7920b18b.08202.pdf
ARAUCO,"DEJA SIN EFECTO RESOLUCIÓN Nº 25 DE 2014 Y PROMULGA ""MODIFICACIÓN DEL PLAN REGULADOR COMUNAL DE ARAUCO, ÁREA URBANA HORCONES"" ",1067772,110,2014-10-02,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-110_02-OCT-2014&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1067772.2014-10-02.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2037/4.110b14d.08202.pdf
ARAUCO,MODIFICA PLAN REGULADOR COMUNAL DE ARAUCO ZONA DE EQUIPAMIENTO ESPECIAL AV.,133242,95,1988-07-02,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-95_02-JUL-1988&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=133242.1988-07-02.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2034/4.95a88p.08202.jpg
ARAUCO,APRUEBA PLAN REGULADOR COMUNAL DE ARAUCO,1016511,23,1988-03-24,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-23_24-MAR-1988&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1016511.1988-03-24.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2033/4.23a88d.08202.pdf
ARAUCO,APRUEBA PLAN REGULADOR COMUNAL DE ARAUCO.,7707,23,1988-03-24,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-23_24-MAR-1988&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=7707.1988-03-24.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/2033/4.23a88d.08202.pdf
ARICA,PROMULGA 'PLAN REGULADOR COMUNAL DE ARICA',1004154,4-afecta,2009-07-11,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-4-afecta_11-JUL-2009&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=1004154.2009-07-11.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3101/4.4b09c.15101.pdf
ARICA,MODIFICA PLAN REGULADOR COMUNAL DE ARICA,177699,227,2000-11-14,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-227_14-NOV-2000&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=177699.2000-11-14.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3100/4.227b00c.15101.pdf
ARICA,MODIFICA PLAN REGULADOR DE ARICA EN SECTOR COSTA CENTRAL,,13028,1995-07-14,,https://instrumentosdeplanificacion.minvu.cl/files/maps/3090/4.9-35a95c.15101.pdf
ARICA,PROMULGA PLAN REGULADOR DE LA COMUNA DE ARICA,,010-036,1995-06-17,,https://instrumentosdeplanificacion.minvu.cl/files/maps/3089/4.010-036a95c.15101.pdf
ARICA,MODIFICA PLAN REGULADOR DE ARICA Y DESAFECTA TERRENOS DE SU CALIDAD DE BIEN NACIONAL DE USO PUBLICO EN LOTEO LA CONCEPCION,86579,2,1992-05-16,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-2_16-MAY-1992&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=86579.1992-05-16.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3082/4.2a92c.15101.pdf
ARICA,MODIFICA PLAN REGULADOR DE ARICA Y CAMBIA USO DE SUELO EN POBLACION INDO,87903,1,1991-03-27,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-1_27-MAR-1991&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=87903.1991-03-27.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3075/4.1a91c.15101.pdf
ARICA,MODIFICA PLAN REGULADOR DE ARICA Y CAMBIO DE USO DE SUELO EN POBLACION LIBERTAD,87910,3,1991-03-27,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-3_27-MAR-1991&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=87910.1991-03-27.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3076/4.3a91c.15101.pdf
ARICA,MODIFICA PLAN REGULADOR DE ARICA. CAMBIA USO DE SUELO EN SECTOR LAS TORRES,87911,4,1991-03-27,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-4_27-MAR-1991&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=87911.1991-03-27.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3079/4.4a91c.15101.pdf
ARICA,MODIFICA PLAN REGULADOR DE ARICA. MODIFICA VIALIDAD EN CHINCHORRO NORTE,87905,2,1991-03-27,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-2_27-MAR-1991&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=87905.1991-03-27.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3077/4.2a91p.15101.jpg
ARICA,MODIFICA PLAN REGULADOR COMUNAL DE ARICA EN SECTOR LITORAL NORTE 1A. ETAPA,120559,82,1989-09-13,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-82_13-SEP-1989&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=120559.1989-09-13.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3073/4.82a89c.15101.pdf
ARICA,MODIFICA PLAN REGULADOR COMUNAL DE ARICA Y DESAFECTA BIEN NACIONAL DE USO PUBLICO,141661,152,1987-11-18,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-152_18-NOV-1987&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=141661.1987-11-18.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3071/4.152a87b.15101.pdf
ARICA,MODIFICA PLAN REGULADOR COMUNAL DE ARICA Y DESAFECTA BIEN NACIONAL DE USO PUBLICO QUE INDICA,,119,1987-08-26,,https://instrumentosdeplanificacion.minvu.cl/files/maps/3070/4.119a87d.15101.pdf
ARICA,Seccional San Miguel de Azapa,,106,1986-06-25,,https://instrumentosdeplanificacion.minvu.cl/files/maps/3067/5.106a86c.15101.pdf
ARICA,MODIFICA PLAN REGULADOR COMUNAL DE ARICA EN SECTOR CHINCHORRO NORTE,159747,59,1986-05-15,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-59_15-MAY-1986&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=159747.1986-05-15.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3066/4.59a86c.15101.pdf
ARICA,MODIFICA PLAN REGULADOR COMUNAL DE ARICA SECTOR PASAJE HAMBURGO,162189,95,1985-07-18,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-95_18-JUL-1985&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=162189.1985-07-18.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3064/4.95a85b.15101.pdf
ARICA,MODIFICA PLAN REGULADOR DE ARICA,221892,180,1984-12-13,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-180_13-DIC-1984&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=221892.1984-12-13.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3063/4.180a84c.15101.pdf
ARICA,MODIFICA PLAN REGULADOR DE ARICA Y DESAFECTA BIEN NACIONAL DE USO PUBLICO QUE INDICA,221890,116,1981-07-10,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-116_10-JUL-1981&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=221890.1981-07-10.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3061/4.116a81d.15101.pdf
ARICA,MODIFICA PLAN REGULADOR DE ARICA Y DESAFECTA BIEN NACIONAL DE USO PUBLICO,221888,49,1981-04-13,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-49_13-ABR-1981&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=221888.1981-04-13.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3058/4.49a81b.15101.pdf
ARICA,MODIFICA PLAN REGULADOR DE ARICA,,66,1981-04-08,,https://instrumentosdeplanificacion.minvu.cl/files/maps/3059/4.66a81d.15101.pdf
ARICA,MODIFICA PLAN REGULADOR DE ARICA,,29,1981-02-18,,https://instrumentosdeplanificacion.minvu.cl/files/maps/3057/4.29a81d.15101.pdf
ARICA,MODIFICA PLAN REGULADOR DE ARICA EN POBLACION CHAPIQUIÑA,,11,1981-02-11,,https://instrumentosdeplanificacion.minvu.cl/files/maps/3056/4.11a81d.15101.pdf
ARICA,APRUEBA MODIFICACION DEL PLAN REGULADOR DE ARICA,221884,219,1976-08-04,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-219_04-AGO-1976&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=221884.1976-08-04.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3052/4.219a76d.15101.pdf
ARICA,"APRUEBA MODIFICACIÓN AL PLAN REGULADOR DE ARICA, APROBADO POR DECRETO SUPREMO N» 455, DE 1971, Y SUPRIME TRAZADO CALLE TENIENTE IBAÑEZ",,666,1975-01-10,,https://instrumentosdeplanificacion.minvu.cl/files/maps/3050/4.666a74b.15101.pdf
ARICA,"COMPLEMENTA PLAN REGULADOR QUE INDICA Y APRUEBA TRAZADO DE AV. CAPITAN AVALOS, EX CAMINO DE CINTURA, DE ARICA",221657,629,1974-12-24,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-629_24-DIC-1974&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=221657.1974-12-24.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3049/4.629a74b.15101.pdf
ARICA,"APRUEBA MODIFICACION DE PLANO REGULADOR, AMPLIACION LIMITE URBANO Y ORDENANZA LOCAL DE ARICA",221882,565,1974-12-10,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-565_10-DIC-1974&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=221882.1974-12-10.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3048/4.565a74c1.15101.pdf
ARICA,APRUEBA MODIFICACIÓN l a . ETAPA DEL PLANO SECCIONAL LITORAL NORTE,,267,1974-05-30,,https://instrumentosdeplanificacion.minvu.cl/files/maps/3047/4.267a74b.15101.pdf
ARICA,APRUEBA MODIFICACION PLAN REGULADOR TRAZADO VIAL SANTA MARIA - SAN MARTIN DE ARICA,,132,1974-03-20,,https://instrumentosdeplanificacion.minvu.cl/files/maps/3045/4.132a74d.15101.pdf
ARICA,MODIFICA PLAN REGULADOR DE ARICA,221653,546,1973-11-22,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-546_22-NOV-1973&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=221653.1973-11-22.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3044/4.546a73c.15101.pdf
ARICA,"MODIFICA PLAN REGULADOR DE ARICA Y CAMBIODE DESTINO MANZANA N° 150, POBLACIÓN MAIPU.ARICA",,328,1973-08-17,,https://instrumentosdeplanificacion.minvu.cl/files/maps/3042/4.328a73b.15101.pdf
ARICA,"APRUEBA TRES TRAZADOS, VIALES, CALLES MAIPU, PEDRO AGUIRRE CERDA Y JOAQUIN ARACENA, DE ARICA",221652,318,1973-07-19,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-318_19-JUL-1973&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=221652.1973-07-19.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3037/4.318a73b.15101.pdf
ARICA,MODIFICA PLAN REGULADOR DE ARICA,222009,272,1973-06-28,https://nuevo.leychile.cl/servicios/Consulta/Exportar?radioExportar=Normas&exportar_formato=pdf&nombrearchivo=DTO-272_28-JUN-1973&exportar_con_notas_bcn=False&exportar_con_notas_originales=False&exportar_con_notas_al_pie=False&hddResultadoExportar=222009.1973-06-28.0.0%23,https://instrumentosdeplanificacion.minvu.cl/files/maps/3036/4.272a73b.15101.pdf
